Date/Time,"Post Title","Post Slug","Post Type",Username,Activity,"IP address",Referrer,Location,"User Role",Permalink,"User Email","Visit Duration"
"2022-10-16 15:15:27","KS1a2: Kraft als Vektor",ks1a2-kraft-als-vektor,page,HE1022-807,visited,5f95cf2ef6fd6266bd9c4c36639005fe,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ks1a2-kraft-als-vektor/ks1a2b3_1a-vektor-zu-einer-kraft-zuordnen/,Unknown,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/ks1a2-kraft-als-vektor/,client@lehrit.de,00:00:06
"2022-10-16 10:54:24",Logout-Page,logout-page,page,HE1022-808,visited,1408fae19fd1279e7b828925f9f58eca,https://lenvi.l3hrit.de/online-lernen/kraft-2/kd1a-erarbeiten-des-grundwissens/kd1a2-grundgesetz-der-translation/,Giessen,subscriber,https://lenvi.l3hrit.de/logout-page/,client@lehrit.de,00:00:35
"2022-10-14 13:38:44",Logout-Page,logout-page,page,HE1022-808,visited,1408fae19fd1279e7b828925f9f58eca,https://lenvi.l3hrit.de/online-lernen/kraft-2/kd1a-erarbeiten-des-grundwissens/kd1a2-grundgesetz-der-translation/,Giessen,subscriber,https://lenvi.l3hrit.de/logout-page/,client@lehrit.de,00:12:42
"2022-10-14 10:48:52","KD3e: Testen des Grundwissens",kd3e-testen-des-grundwissens,page,"Dominik Hofmann",visited,ec143505b69f5391b0f984ca54e019bf,https://lenvi.l3hrit.de/online-lernen/kraft-2/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/kd3e-testen-des-grundwissens/,client@it-lehr.de,N/A
"2022-10-14 10:45:00","KD3eV2: Testen des Grundwissens Version 2",kd3ev2-testen-des-grundwissens-version-2,page,"Dominik Hofmann",visited,ec143505b69f5391b0f984ca54e019bf,https://lenvi.l3hrit.de/online-lernen/kraft-2/kd3e-testen-des-grundwissens/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/kd3e-testen-des-grundwissens/kd3ev2-testen-des-grundwissens-version-2/,client@it-lehr.de,N/A
"2022-10-14 10:34:53","KD3a2: Haftreibung",kd3a2-haftreibung,page,"Dominik Hofmann",visited,ec143505b69f5391b0f984ca54e019bf,https://lenvi.l3hrit.de/online-lernen/kraft-2/kd3a-erarbeiten-des-grundwissens/kd3a2-haftreibung/kd3a2b1_1a-haftreibung-berechnen/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/kd3a-erarbeiten-des-grundwissens/kd3a2-haftreibung/,client@it-lehr.de,N/A
"2022-10-14 10:34:34","KD3a2B1_1A: Haftreibung berechnen",kd3a2b1_1a-haftreibung-berechnen,page,"Dominik Hofmann",visited,ec143505b69f5391b0f984ca54e019bf,https://lenvi.l3hrit.de/online-lernen/kraft-2/kd3a-erarbeiten-des-grundwissens/kd3a2-haftreibung/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/kd3a-erarbeiten-des-grundwissens/kd3a2-haftreibung/kd3a2b1_1a-haftreibung-berechnen/,client@it-lehr.de,N/A
"2022-10-14 10:33:34","KD3a2: Haftreibung",kd3a2-haftreibung,page,"Dominik Hofmann",visited,ec143505b69f5391b0f984ca54e019bf,https://lenvi.l3hrit.de/online-lernen/kraft-2/kd3a-erarbeiten-des-grundwissens/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/kd3a-erarbeiten-des-grundwissens/kd3a2-haftreibung/,client@it-lehr.de,N/A
"2022-10-14 10:23:04","KD3c: Üben des Grundwissens",kd3c-ueben-des-grundwissens,page,"Dominik Hofmann",visited,ec143505b69f5391b0f984ca54e019bf,https://lenvi.l3hrit.de/online-lernen/kraft-2/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/kd3c-ueben-des-grundwissens/,client@it-lehr.de,N/A
"2022-10-14 10:23:04","KD3a: Erarbeiten des Grundwissens",kd3a-erarbeiten-des-grundwissens,page,"Dominik Hofmann",visited,ec143505b69f5391b0f984ca54e019bf,https://lenvi.l3hrit.de/online-lernen/kraft-2/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/kd3a-erarbeiten-des-grundwissens/,client@it-lehr.de,N/A
"2022-10-14 10:23:04","KD3e: Testen des Grundwissens",kd3e-testen-des-grundwissens,page,"Dominik Hofmann",visited,ec143505b69f5391b0f984ca54e019bf,https://lenvi.l3hrit.de/online-lernen/kraft-2/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/kd3e-testen-des-grundwissens/,client@it-lehr.de,N/A
"2022-10-14 10:18:11","KS1e: Testen des Grundwissens",ks1e-testen-des-grundwissens,page,HE1022-836,visited,b65da51ae1314d7ce2f7ab710d97f630,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1a-erarbeiten-des-grundwissens/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/ks1e-testen-des-grundwissens/,client@lehrit.de,29:17:48
"2022-10-14 10:16:10",Kraft,kraft-2,page,"Dominik Hofmann",visited,ec143505b69f5391b0f984ca54e019bf,https://lenvi.l3hrit.de/einfuehrungs-tour/,Giessen,subscriber,https://lenvi.l3hrit.de/online-lernen/kraft-2/,client@it-lehr.de,N/A
"2022-10-14 10:15:13",Einführungs-Tour,einfuehrungs-tour,page,"Dominik Hofmann",visited,ec143505b69f5391b0f984ca54e019bf,https://lenvi.l3hrit.de/,Giessen,subscriber,https://lenvi.l3hrit.de/einfuehrungs-tour/,client@it-lehr.de,N/A
"2022-10-14 10:14:12",Startseite,startseite,page,"Dominik Hofmann",visited,ec143505b69f5391b0f984ca54e019bf,,Unknown,subscriber,https://lenvi.l3hrit.de/,client@it-lehr.de,N/A
"2022-10-14 09:58:35",Logout-Page,logout-page,page,HE1022-829,visited,bd0a071d001cb3cd57b472943580bef1,https://lenvi.l3hrit.de/einfuehrungs-tour/,Mengerskirchen,subscriber,https://lenvi.l3hrit.de/logout-page/,client@lehrit.de,N/A
"2022-10-14 09:58:26",Einführungs-Tour,einfuehrungs-tour,page,HE1022-829,visited,bd0a071d001cb3cd57b472943580bef1,https://lenvi.l3hrit.de/,Mengerskirchen,subscriber,https://lenvi.l3hrit.de/einfuehrungs-tour/,client@lehrit.de,N/A
"2022-10-14 09:58:12",Startseite,startseite,page,HE1022-829,visited,bd0a071d001cb3cd57b472943580bef1,https://lenvi.l3hrit.de/,Mengerskirchen,subscriber,https://lenvi.l3hrit.de/,client@lehrit.de,N/A
